# radius = 1,
# length = 1,
# E-field = 1,
# omega = 1e+00,
# mode = TM011,
z, 0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1
0.21, 0, 8.12929755071652e-18, 1.59076920273866e-17, 2.30011101554973e-17, 2.91082907198781e-17, 3.39751156461873e-17, 3.74065717516155e-17, 3.92757475750432e-17, 3.95294228762375e-17, 3.81899841233008e-17, 3.53535883251263e-17, 
0.22, 0, 8.24431567873222e-18, 1.61327634983994e-17, 2.33265435174654e-17, 2.95201320982321e-17, 3.44558157529754e-17, 3.79358221365983e-17, 3.98314441692835e-17, 4.00887086192431e-17, 3.87303186916208e-17, 3.5853791881759e-17, 
0.23, 0, 8.32679725923353e-18, 1.62941663222425e-17, 2.3559917669054e-17, 2.981547100166e-17, 3.48005344963513e-17, 3.83153571628364e-17, 4.02299442506435e-17, 4.04897825441173e-17, 3.91178023862645e-17, 3.62124969018738e-17, 
0.24, 0, 8.37641677510445e-18, 1.63912635157083e-17, 2.37003115891054e-17, 2.99931418624373e-17, 3.50079114289221e-17, 3.85436789789745e-17, 4.04696751213594e-17, 4.07310617953121e-17, 3.93509059861136e-17, 3.6428287740633e-17, 
0.25, 0, 8.39297840078485e-18, 1.64236718805336e-17, 2.37471712069571e-17, 3.00524434948466e-17, 3.50771281286763e-17, 3.86198865031144e-17, 4.05496906732072e-17, 4.08115941538528e-17, 3.94287095377544e-17, 3.65003127701816e-17, 
0.26, 0, 8.37641677510445e-18, 1.63912635157083e-17, 2.37003115891054e-17, 2.99931418624373e-17, 3.50079114289221e-17, 3.85436789789745e-17, 4.04696751213594e-17, 4.07310617953121e-17, 3.93509059861136e-17, 3.6428287740633e-17, 
0.27, 0, 8.32679725923353e-18, 1.62941663222425e-17, 2.3559917669054e-17, 2.981547100166e-17, 3.48005344963513e-17, 3.83153571628364e-17, 4.02299442506435e-17, 4.04897825441173e-17, 3.91178023862645e-17, 3.62124969018738e-17, 
0.28, 0, 8.24431567873222e-18, 1.61327634983994e-17, 2.33265435174654e-17, 2.95201320982321e-17, 3.44558157529754e-17, 3.79358221365983e-17, 3.98314441692835e-17, 4.00887086192431e-17, 3.87303186916208e-17, 3.5853791881759e-17, 
0.29, 0, 8.12929755071652e-18, 1.59076920273866e-17, 2.30011101554973e-17, 2.91082907198781e-17, 3.39751156461873e-17, 3.74065717516155e-17, 3.92757475750432e-17, 3.95294228762375e-17, 3.81899841233008e-17, 3.53535883251263e-17, 
0.3, 0, 7.98219679919091e-18, 1.56198401634749e-17, 2.25849019199532e-17, 2.85815722163658e-17, 3.33603312796976e-17, 3.67296947173662e-17, 3.85650475485066e-17, 3.88141325604149e-17, 3.74989311349902e-17, 3.47138603068925e-17, 
0.31, 0, 7.80359396361774e-18, 1.52703439264642e-17, 2.20795613945912e-17, 2.79420553049937e-17, 3.26138889265325e-17, 3.59078623582689e-17, 3.77021488979902e-17, 3.79456605958667e-17, 3.66598869971219e-17, 3.39371325412815e-17, 
0.32, 0, 7.59419390779312e-18, 1.48605826183322e-17, 2.14870829275969e-17, 2.71922638668437e-17, 3.1738734453643e-17, 3.49443180711853e-17, 3.66904570902469e-17, 3.692743444467e-17, 3.56761630335851e-17, 3.30264704179313e-17, 
0.33, 0, 7.35482303807163e-18, 1.43921733797601e-17, 2.08098047608018e-17, 2.63351569861748e-17, 3.07383216959135e-17, 3.3842864525215e-17, 3.55339648106438e-17, 3.57634725802603e-17, 3.45516415534434e-17, 3.19854679042005e-17, 
0.34, 0, 7.08642604191789e-18, 1.38669648080167e-17, 2.00503998017113e-17, 2.53741172722704e-17, 2.96165988254536e-17, 3.26078486542979e-17, 3.42372362058575e-17, 3.44583686283527e-17, 3.32907605292337e-17, 3.08182333614222e-17, 
0.35, 0, 6.79006215965681e-18, 1.32870296613896e-17, 1.92118650747597e-17, 2.43129375098237e-17, 2.83779927699666e-17, 3.12441445018512e-17, 3.2805388871272e-17, 3.30172732380002e-17, 3.18984960823169e-17, 2.95293733310779e-17, 
0.36, 0, 6.46690100413589e-18, 1.26546566789555e-17, 1.82975098934244e-17, 2.31558056905504e-17, 2.70273917416882e-17, 2.97571339851476e-17, 3.12440736541681e-17, 3.14458737543346e-17, 3.03803428443998e-17, 2.81239743548832e-17, 
0.37, 0, 6.11821794479769e-18, 1.19723415479722e-17, 1.73109427998768e-17, 2.19072884850979e-17, 2.55701259458461e-17, 2.8152685655346e-17, 2.95594523524107e-17, 2.97503717732138e-17, 2.87422922727343e-17, 2.66075829005315e-17, 
0.38, 0, 5.74538907437927e-18, 1.12427770545416e-17, 1.62560573237156e-17, 2.05723132204827e-17, 2.40119465447751e-17, 2.64371315370014e-17, 2.77581733966476e-17, 2.79374586663561e-17, 2.69908090045727e-17, 2.49861834723198e-17, 
0.39, 0, 5.34988577810286e-18, 1.04688424564131e-17, 1.51370166159838e-17, 1.91561484341822e-17, 2.23590029607068e-17, 2.46172421384568e-17, 2.5847345611991e-17, 2.60142891735531e-17, 2.51328053441976e-17, 2.32661749930442e-17, 
0.4, 0, 4.9332689267906e-18, 9.65359211986822e-18, 1.39582370191138e-17, 1.76643830816237e-17, 2.06178186068094e-17, 2.27001997317398e-17, 2.38345101627329e-17, 2.39884531661804e-17, 2.31756139832156e-17, 2.14543455503754e-17, 
0.41, 0, 4.49718271682049e-18, 8.80024346553297e-18, 1.27243706376413e-17, 1.61029044791311e-17, 1.87952651422562e-17, 2.06935700074164e-17, 2.17276107908143e-17, 2.18679456934425e-17, 2.11269590617727e-17, 1.95578456073774e-17, 
0.42, 0, 4.04334818123444e-18, 7.91216427068807e-18, 1.1440286978474e-17, 1.44778750693766e-17, 1.68985353529264e-17, 1.86052722162666e-17, 1.95349624655057e-17, 1.96611354295667e-17, 1.89949256849025e-17, 1.75841597828968e-17, 
0.43, 0, 3.57355639760713e-18, 6.99285937819079e-18, 1.01110537331727e-17, 1.27957081010352e-17, 1.49351147647651e-17, 1.64435479156196e-17, 1.7265218568021e-17, 1.73767316464687e-17, 1.67879280143101e-17, 1.55410773131915e-17, 
0.44, 0, 3.08966141948109e-18, 6.04595686446134e-18, 8.74191677808755e-18, 1.1063042318622e-17, 1.29127521018321e-17, 1.4216928443692e-17, 1.49273367405765e-17, 1.50237498422357e-17, 1.45146760615199e-17, 1.3436661311374e-17, 
0.45, 0, 2.59357295926439e-18, 5.07519372112282e-18, 7.33827947128117e-18, 9.28671576240044e-18, 1.08394287056285e-17, 1.1934201250294e-17, 1.25305435346683e-17, 1.26114761610738e-17, 1.21841413134397e-17, 1.1279216945987e-17, 
0.46, 0, 2.08724885146825e-18, 4.08440110680249e-18, 5.90568132794265e-18, 7.47373878176158e-18, 8.72332703638766e-18, 9.60437521677903e-18, 1.00842979980897e-17, 1.01494307451395e-17, 9.80552132599998e-18, 9.07725866429838e-18, 
0.47, 0, 1.57268732602866e-18, 3.07748922729898e-18, 4.44977615845189e-18, 5.63126636857756e-18, 6.57279838064325e-18, 7.23664510210507e-18, 7.59825434439007e-18, 7.64733016288801e-18, 7.38820342560312e-18, 6.83947658966674e-18, 
0.48, 0, 1.05191912220573e-18, 2.05843190378641e-18, 2.97630975537308e-18, 3.76656991971767e-18, 4.39632989251642e-18, 4.84035525532178e-18, 5.08222385210538e-18, 5.11504906221644e-18, 4.94172766163449e-18, 4.57470222559534e-18, 
0.49, 0, 5.26999474183588e-19, 1.03125088995768e-18, 1.49109721743639e-18, 1.88700854016676e-18, 2.20251109879588e-18, 2.42496273769368e-18, 2.54613614412364e-18, 2.56258119973991e-18, 2.475749156246e-18, 2.29187360182214e-18, 
0.5, 0, 1.0278434133834e-33, 2.01131971987418e-33, 2.90818972074042e-33, 3.68036287325206e-33, 4.2957092686065e-33, 4.72957203894732e-33, 4.96590488893585e-33, 4.99797881486166e-33, 4.82862429299217e-33, 4.46999912018802e-33, 
0.51, 0, -5.26999474183586e-19, -1.03125088995768e-18, -1.49109721743639e-18, -1.88700854016675e-18, -2.20251109879587e-18, -2.42496273769367e-18, -2.54613614412363e-18, -2.5625811997399e-18, -2.47574915624599e-18, -2.29187360182214e-18, 
0.52, 0, -1.05191912220573e-18, -2.05843190378641e-18, -2.97630975537307e-18, -3.76656991971767e-18, -4.39632989251641e-18, -4.84035525532177e-18, -5.08222385210537e-18, -5.11504906221643e-18, -4.94172766163449e-18, -4.57470222559533e-18, 
0.53, 0, -1.57268732602866e-18, -3.07748922729898e-18, -4.44977615845189e-18, -5.63126636857757e-18, -6.57279838064326e-18, -7.23664510210507e-18, -7.59825434439007e-18, -7.64733016288802e-18, -7.38820342560313e-18, -6.83947658966675e-18, 
0.54, 0, -2.08724885146825e-18, -4.08440110680249e-18, -5.90568132794265e-18, -7.47373878176158e-18, -8.72332703638766e-18, -9.60437521677904e-18, -1.00842979980897e-17, -1.01494307451395e-17, -9.80552132599999e-18, -9.07725866429839e-18, 
0.55, 0, -2.59357295926439e-18, -5.07519372112283e-18, -7.33827947128118e-18, -9.28671576240045e-18, -1.08394287056285e-17, -1.1934201250294e-17, -1.25305435346684e-17, -1.26114761610738e-17, -1.21841413134397e-17, -1.1279216945987e-17, 
0.56, 0, -3.08966141948109e-18, -6.04595686446135e-18, -8.74191677808755e-18, -1.1063042318622e-17, -1.29127521018321e-17, -1.42169284436921e-17, -1.49273367405765e-17, -1.50237498422357e-17, -1.451467606152e-17, -1.3436661311374e-17, 
0.57, 0, -3.57355639760713e-18, -6.99285937819078e-18, -1.01110537331727e-17, -1.27957081010352e-17, -1.49351147647651e-17, -1.64435479156196e-17, -1.7265218568021e-17, -1.73767316464687e-17, -1.67879280143101e-17, -1.55410773131915e-17, 
0.58, 0, -4.04334818123444e-18, -7.91216427068806e-18, -1.1440286978474e-17, -1.44778750693765e-17, -1.68985353529264e-17, -1.86052722162666e-17, -1.95349624655056e-17, -1.96611354295667e-17, -1.89949256849025e-17, -1.75841597828967e-17, 
0.59, 0, -4.49718271682049e-18, -8.80024346553296e-18, -1.27243706376413e-17, -1.6102904479131e-17, -1.87952651422562e-17, -2.06935700074164e-17, -2.17276107908143e-17, -2.18679456934425e-17, -2.11269590617727e-17, -1.95578456073774e-17, 
0.6, 0, -4.9332689267906e-18, -9.65359211986821e-18, -1.39582370191138e-17, -1.76643830816237e-17, -2.06178186068094e-17, -2.27001997317398e-17, -2.38345101627329e-17, -2.39884531661804e-17, -2.31756139832156e-17, -2.14543455503754e-17, 
0.61, 0, -5.34988577810286e-18, -1.04688424564131e-17, -1.51370166159838e-17, -1.91561484341822e-17, -2.23590029607068e-17, -2.46172421384568e-17, -2.5847345611991e-17, -2.60142891735531e-17, -2.51328053441976e-17, -2.32661749930442e-17, 
0.62, 0, -5.74538907437926e-18, -1.12427770545416e-17, -1.62560573237156e-17, -2.05723132204827e-17, -2.40119465447751e-17, -2.64371315370014e-17, -2.77581733966476e-17, -2.79374586663561e-17, -2.69908090045727e-17, -2.49861834723198e-17, 
0.63, 0, -6.11821794479769e-18, -1.19723415479722e-17, -1.73109427998768e-17, -2.19072884850979e-17, -2.55701259458461e-17, -2.8152685655346e-17, -2.95594523524107e-17, -2.97503717732138e-17, -2.87422922727343e-17, -2.66075829005315e-17, 
0.64, 0, -6.46690100413589e-18, -1.26546566789555e-17, -1.82975098934244e-17, -2.31558056905504e-17, -2.70273917416882e-17, -2.97571339851477e-17, -3.12440736541681e-17, -3.14458737543346e-17, -3.03803428443998e-17, -2.81239743548832e-17, 
0.65, 0, -6.79006215965681e-18, -1.32870296613896e-17, -1.92118650747597e-17, -2.43129375098237e-17, -2.83779927699666e-17, -3.12441445018512e-17, -3.2805388871272e-17, -3.30172732380002e-17, -3.18984960823169e-17, -2.95293733310779e-17, 
0.66, 0, -7.0864260419179e-18, -1.38669648080167e-17, -2.00503998017113e-17, -2.53741172722704e-17, -2.96165988254536e-17, -3.26078486542979e-17, -3.42372362058575e-17, -3.44583686283527e-17, -3.32907605292337e-17, -3.08182333614222e-17, 
0.67, 0, -7.35482303807163e-18, -1.43921733797601e-17, -2.08098047608018e-17, -2.63351569861748e-17, -3.07383216959135e-17, -3.3842864525215e-17, -3.55339648106439e-17, -3.57634725802603e-17, -3.45516415534434e-17, -3.19854679042005e-17, 
0.68, 0, -7.59419390779313e-18, -1.48605826183322e-17, -2.14870829275969e-17, -2.71922638668437e-17, -3.17387344536431e-17, -3.49443180711853e-17, -3.6690457090247e-17, -3.69274344446701e-17, -3.56761630335852e-17, -3.30264704179313e-17, 
0.69, 0, -7.80359396361774e-18, -1.52703439264642e-17, -2.20795613945912e-17, -2.79420553049937e-17, -3.26138889265325e-17, -3.59078623582689e-17, -3.77021488979902e-17, -3.79456605958667e-17, -3.66598869971219e-17, -3.39371325412815e-17, 
0.7, 0, -7.98219679919091e-18, -1.56198401634749e-17, -2.25849019199532e-17, -2.85815722163658e-17, -3.33603312796976e-17, -3.67296947173662e-17, -3.85650475485066e-17, -3.88141325604149e-17, -3.74989311349902e-17, -3.47138603068924e-17, 
0.71, 0, -8.12929755071651e-18, -1.59076920273866e-17, -2.30011101554973e-17, -2.91082907198781e-17, -3.39751156461873e-17, -3.74065717516155e-17, -3.92757475750432e-17, -3.95294228762375e-17, -3.81899841233008e-17, -3.53535883251263e-17, 
0.72, 0, -8.24431567873222e-18, -1.61327634983994e-17, -2.33265435174654e-17, -2.95201320982321e-17, -3.44558157529754e-17, -3.79358221365983e-17, -3.98314441692835e-17, -4.00887086192431e-17, -3.87303186916208e-17, -3.5853791881759e-17, 
0.73, 0, -8.32679725923353e-18, -1.62941663222425e-17, -2.3559917669054e-17, -2.981547100166e-17, -3.48005344963513e-17, -3.83153571628364e-17, -4.02299442506435e-17, -4.04897825441173e-17, -3.91178023862645e-17, -3.62124969018738e-17, 
0.74, 0, -8.37641677510445e-18, -1.63912635157083e-17, -2.37003115891054e-17, -2.99931418624373e-17, -3.50079114289221e-17, -3.85436789789745e-17, -4.04696751213594e-17, -4.07310617953121e-17, -3.93509059861136e-17, -3.6428287740633e-17, 
0.75, 0, -8.39297840078485e-18, -1.64236718805336e-17, -2.37471712069571e-17, -3.00524434948466e-17, -3.50771281286763e-17, -3.86198865031144e-17, -4.05496906732072e-17, -4.08115941538528e-17, -3.94287095377544e-17, -3.65003127701816e-17, 
0.76, 0, -8.37641677510445e-18, -1.63912635157083e-17, -2.37003115891054e-17, -2.99931418624373e-17, -3.50079114289221e-17, -3.85436789789745e-17, -4.04696751213594e-17, -4.07310617953121e-17, -3.93509059861136e-17, -3.6428287740633e-17, 
0.77, 0, -8.32679725923353e-18, -1.62941663222425e-17, -2.3559917669054e-17, -2.981547100166e-17, -3.48005344963513e-17, -3.83153571628364e-17, -4.02299442506435e-17, -4.04897825441173e-17, -3.91178023862645e-17, -3.62124969018738e-17, 
0.78, 0, -8.24431567873222e-18, -1.61327634983994e-17, -2.33265435174654e-17, -2.95201320982321e-17, -3.44558157529754e-17, -3.79358221365983e-17, -3.98314441692835e-17, -4.00887086192431e-17, -3.87303186916208e-17, -3.5853791881759e-17, 
0.79, 0, -8.12929755071652e-18, -1.59076920273866e-17, -2.30011101554973e-17, -2.91082907198781e-17, -3.39751156461873e-17, -3.74065717516155e-17, -3.92757475750432e-17, -3.95294228762375e-17, -3.81899841233008e-17, -3.53535883251263e-17, 
0.8, 0, -7.98219679919091e-18, -1.56198401634749e-17, -2.25849019199532e-17, -2.85815722163658e-17, -3.33603312796976e-17, -3.67296947173662e-17, -3.85650475485066e-17, -3.88141325604149e-17, -3.74989311349902e-17, -3.47138603068925e-17, 
0.81, 0, -7.80359396361773e-18, -1.52703439264642e-17, -2.20795613945912e-17, -2.79420553049937e-17, -3.26138889265325e-17, -3.59078623582689e-17, -3.77021488979902e-17, -3.79456605958667e-17, -3.66598869971219e-17, -3.39371325412815e-17, 
0.82, 0, -7.59419390779312e-18, -1.48605826183322e-17, -2.14870829275969e-17, -2.71922638668437e-17, -3.1738734453643e-17, -3.49443180711853e-17, -3.66904570902469e-17, -3.69274344446701e-17, -3.56761630335852e-17, -3.30264704179313e-17, 
0.83, 0, -7.35482303807163e-18, -1.43921733797601e-17, -2.08098047608018e-17, -2.63351569861748e-17, -3.07383216959135e-17, -3.3842864525215e-17, -3.55339648106438e-17, -3.57634725802603e-17, -3.45516415534434e-17, -3.19854679042005e-17, 
0.84, 0, -7.0864260419179e-18, -1.38669648080167e-17, -2.00503998017113e-17, -2.53741172722704e-17, -2.96165988254536e-17, -3.26078486542979e-17, -3.42372362058575e-17, -3.44583686283527e-17, -3.32907605292337e-17, -3.08182333614222e-17, 
0.85, 0, -6.79006215965682e-18, -1.32870296613896e-17, -1.92118650747597e-17, -2.43129375098237e-17, -2.83779927699666e-17, -3.12441445018513e-17, -3.2805388871272e-17, -3.30172732380002e-17, -3.18984960823169e-17, -2.95293733310779e-17, 
0.86, 0, -6.4669010041359e-18, -1.26546566789555e-17, -1.82975098934244e-17, -2.31558056905504e-17, -2.70273917416882e-17, -2.97571339851477e-17, -3.12440736541681e-17, -3.14458737543346e-17, -3.03803428443999e-17, -2.81239743548832e-17, 
0.87, 0, -6.11821794479769e-18, -1.19723415479722e-17, -1.73109427998768e-17, -2.19072884850979e-17, -2.55701259458461e-17, -2.8152685655346e-17, -2.95594523524107e-17, -2.97503717732138e-17, -2.87422922727343e-17, -2.66075829005315e-17, 
0.88, 0, -5.74538907437927e-18, -1.12427770545416e-17, -1.62560573237156e-17, -2.05723132204827e-17, -2.40119465447751e-17, -2.64371315370014e-17, -2.77581733966476e-17, -2.79374586663561e-17, -2.69908090045727e-17, -2.49861834723198e-17, 
0.89, 0, -5.34988577810286e-18, -1.04688424564131e-17, -1.51370166159838e-17, -1.91561484341822e-17, -2.23590029607068e-17, -2.46172421384568e-17, -2.5847345611991e-17, -2.60142891735531e-17, -2.51328053441976e-17, -2.32661749930442e-17, 
0.9, 0, -4.9332689267906e-18, -9.65359211986822e-18, -1.39582370191138e-17, -1.76643830816237e-17, -2.06178186068094e-17, -2.27001997317398e-17, -2.38345101627329e-17, -2.39884531661804e-17, -2.31756139832156e-17, -2.14543455503754e-17, 
0.91, 0, -4.49718271682049e-18, -8.80024346553296e-18, -1.27243706376413e-17, -1.6102904479131e-17, -1.87952651422562e-17, -2.06935700074164e-17, -2.17276107908143e-17, -2.18679456934425e-17, -2.11269590617727e-17, -1.95578456073774e-17, 
0.92, 0, -4.04334818123444e-18, -7.91216427068807e-18, -1.1440286978474e-17, -1.44778750693765e-17, -1.68985353529264e-17, -1.86052722162666e-17, -1.95349624655056e-17, -1.96611354295667e-17, -1.89949256849025e-17, -1.75841597828968e-17, 
0.93, 0, -3.57355639760713e-18, -6.99285937819077e-18, -1.01110537331727e-17, -1.27957081010352e-17, -1.4935114764765e-17, -1.64435479156196e-17, -1.7265218568021e-17, -1.73767316464687e-17, -1.67879280143101e-17, -1.55410773131915e-17, 
0.94, 0, -3.08966141948109e-18, -6.04595686446134e-18, -8.74191677808754e-18, -1.1063042318622e-17, -1.29127521018321e-17, -1.4216928443692e-17, -1.49273367405765e-17, -1.50237498422357e-17, -1.45146760615199e-17, -1.34366613113739e-17, 
0.95, 0, -2.59357295926439e-18, -5.07519372112282e-18, -7.33827947128118e-18, -9.28671576240044e-18, -1.08394287056285e-17, -1.1934201250294e-17, -1.25305435346683e-17, -1.26114761610738e-17, -1.21841413134397e-17, -1.1279216945987e-17, 
0.96, 0, -2.08724885146825e-18, -4.0844011068025e-18, -5.90568132794266e-18, -7.47373878176159e-18, -8.72332703638767e-18, -9.60437521677905e-18, -1.00842979980897e-17, -1.01494307451395e-17, -9.805521326e-18, -9.0772586642984e-18, 
0.97, 0, -1.57268732602866e-18, -3.07748922729898e-18, -4.44977615845189e-18, -5.63126636857757e-18, -6.57279838064326e-18, -7.23664510210507e-18, -7.59825434439007e-18, -7.64733016288801e-18, -7.38820342560312e-18, -6.83947658966675e-18, 
0.98, 0, -1.05191912220573e-18, -2.05843190378641e-18, -2.97630975537308e-18, -3.76656991971768e-18, -4.39632989251642e-18, -4.84035525532178e-18, -5.08222385210539e-18, -5.11504906221644e-18, -4.9417276616345e-18, -4.57470222559535e-18, 
0.99, 0, -5.26999474183586e-19, -1.03125088995768e-18, -1.49109721743638e-18, -1.88700854016675e-18, -2.20251109879587e-18, -2.42496273769367e-18, -2.54613614412363e-18, -2.5625811997399e-18, -2.47574915624599e-18, -2.29187360182213e-18, 
1, 0, -2.05568682676681e-33, -4.02263943974836e-33, -5.81637944148084e-33, -7.36072574650412e-33, -8.59141853721299e-33, -9.45914407789464e-33, -9.9318097778717e-33, -9.99595762972333e-33, -9.65724858598433e-33, -8.93999824037604e-33, 
